,name,idx,lat,lon,url
3214,"Ninghua living area, Yinchuan",1410,38.4858,106.0715,http://aqicn.org/city/china/yinchuan/ninghuashenghuoqu/
3215,"Helanshan East Road, Yinchuan",1411,38.4975,106.2328,http://aqicn.org/city/china/yinchuan/helanshandonglu/
3216,"College Road, Yinchuan",1412,38.5036,106.1358,http://aqicn.org/city/china/yinchuan/xueyuanlu/
3217,"Yinhu Lane, Yinchuan",1423,38.4744,106.2682,http://aqicn.org/city/china/yinchuan/yinhuxiang/
3218,"Shahu Tourism Zone, Shizuishan",4439,38.8170,106.3394,http://aqicn.org/city/china/shizuishan/shahulvyouqu/
3219,"Dawukou huanghe East Street, Shizuishan",4440,39.0153,106.3717,http://aqicn.org/city/china/shizuishan/dawukouhuanghedongjie/
3220,"Huinong South Street, Shizuishan",4441,39.2282,106.7704,http://aqicn.org/city/china/shizuishan/huinongnandajie/
3221,"Hongguozi Town Huixin Street, Shizuishan",4442,39.1292,106.7096,http://aqicn.org/city/china/shizuishan/hongguozizhenhuixinjie/
3222,Yinchuan,1578,38.487194,106.230909,http://aqicn.org/city/yinchuan/
3223,Shizuishan,1579,,,
3224,"Monitoring station, Wulumuqi",1413,43.8303,87.5801,http://aqicn.org/city/china/wulumuqi/jiancezhan/
3225,"Toll office, Wulumuqi",1414,43.768,87.6046,http://aqicn.org/city/china/wulumuqi/shoufeisuo/
3226,"Xinjiang Academy of Agricultural Farms, Wulumuqi",1415,43.9469,87.4754,http://aqicn.org/city/china/wulumuqi/xinjiangnongkeyuannongchang/
3227,"Railway Bureau, Wulumuqi",1416,43.8711,87.5525,http://aqicn.org/city/china/wulumuqi/tieluju/
3228,"No.31 middle school, Wulumuqi",1417,43.831,87.6432,http://aqicn.org/city/china/wulumuqi/sanshiyizhongxue/
3229,"No.74 middle school, Wulumuqi",1418,43.8729,87.4171,http://aqicn.org/city/china/wulumuqi/qishisizhongxue/
3230,"Midong district EPA bureau, Wulumuqi",1419,43.962,87.6444,http://aqicn.org/city/china/wulumuqi/midongquhuanbaoju/
3231,"Kongque Park, Korla",4430,41.7511,86.1461,http://aqicn.org/city/china/kuerle/kongquegongyuan/
3232,"Cotton Mill, Korla",4431,41.7192,86.2022,http://aqicn.org/city/china/kuerle/mianfangchang/
3233,"BDA, Korla",4432,41.7128,86.2381,http://aqicn.org/city/china/kuerle/jingjikaifaqu/
3234,"Baijiantan District, Karamay",4296,45.6886,85.1186,http://aqicn.org/city/china/kelamayi/baijiantanqu/
